count_session,count_hit,totals_newVisits,geoNetwork_latitude,geoNetwork_longitude,historic_session,historic_session_page,avg_session_time,avg_session_time_page,single_page_rate,sessionQualityDim,visitId_threshold,earliest_visit_number,avg_visit_time,days_since_first_visit,visits_per_day,bounce_rate,num_interactions,bounces,time_on_site,transactionRevenue,has_converted
3,147,0,25.3463,55.4209,2202,2117,734.0,705.6666666666666,0.6666666666666666,2,1616951253,99,14,21,18.0,0.0,1994,0,19458,0,0
40,1101,0,25.4052,55.5136,33901,33883,847.525,847.075,0.175,53,1617271414,1,12,30,145.4193548387097,0.47,5931,0,53471,830323926,0
26,5305,0,25.2048,55.2708,7541,0,290.03846153846155,0.0,1.0,2,1617276996,1,13,27,189.46428571428572,0.0,30078,0,7628,339704144,1
18,2070,0,25.2048,55.2708,10176,1337,565.3333333333334,74.27777777777777,0.8888888888888888,4,1617293291,318,9,29,69.0,0.0,13241,0,52404,0,0
51,10062,0,25.2048,55.2708,11954,0,234.3921568627451,0.0,1.0,2,1617193222,274,13,29,335.4,0.0,31226,0,675,56250982,1
15,1258,0,25.2048,55.2708,5088,0,339.2,0.0,1.0,54,1617189306,38,11,25,48.38461538461539,0.0,1640,0,6846,0,0
22,912,0,24.4539,54.3773,4578,1263,208.0909090909091,57.40909090909091,0.8636363636363636,4,1617014814,2,13,26,38.592592592592595,0.0,1078,0,1445,0,0
13,341,0,25.2048,55.2708,3442,0,264.7692307692308,0.0,1.0,6,1617191647,113,15,29,11.366666666666667,0.0,1904,0,1261,0,0
3,513,0,25.3463,55.4209,1180,0,393.33333333333326,0.0,1.0,2,1615283986,1,15,1,256.5,0.0,513,0,1159,0,0
5,1154,0,25.2048,55.2708,4010,0,802.0,0.0,1.0,45,1617105301,44,11,21,52.45454545454545,0.0,6120,0,5794,0,0
38,6973,0,24.4539,54.3773,10214,0,268.7894736842105,0.0,1.0,2,1617274313,16,14,26,258.25925925925924,0.0,14815,0,1780,365091311,1
20,2396,0,25.2048,55.2708,17467,15914,873.35,795.7,0.25,5,1617183383,41,12,28,82.62068965517241,0.0,4579,0,376,25415243,0
23,1444,0,25.2048,55.2708,12863,6734,559.2608695652174,292.7826086956522,0.7391304347826086,5,1617198027,1,10,19,97.95,0.08,2322,0,7545,0,0
2,641,0,24.4539,54.3773,829,0,414.5,0.0,1.0,3,1616849702,39,13,15,40.0625,0.0,1499,0,3288,36769310,1
34,5297,0,25.2048,55.2708,18345,739,539.5588235294117,21.735294117647054,0.9705882352941176,5,1617297618,44,12,29,176.56666666666666,0.0,39112,0,56429,0,0
1,107,0,25.2048,55.2708,243,0,243.0,0.0,1.0,4,1616672001,27,12,0,107.0,0.0,871,0,244,0,0
19,3492,0,25.2048,55.2708,6658,0,350.42105263157896,0.0,1.0,2,1617293163,4,12,26,129.33333333333334,0.0,10071,0,4655,189291269,1
2,698,0,25.2048,55.2708,672,0,336.0,0.0,1.0,2,1617204834,9,18,29,23.266666666666666,0.0,2326,0,0,39842520,1
67,12286,0,24.1302,55.8023,23094,322,344.6865671641791,4.8059701492537314,0.9850746268656716,10,1617299907,5,13,30,396.3225806451613,0.0,48456,0,862,44527694,1
37,3418,0,25.2048,55.2708,6499,0,175.64864864864865,0.0,1.0,4,1616778811,326,13,30,110.25806451612904,0.0,6923,0,160,0,0
48,7114,0,25.2048,55.2708,8636,0,179.91666666666666,0.0,1.0,2,1617263168,340,11,28,245.31034482758625,0.0,22751,0,339,79197738,1
8,1127,0,25.2048,55.2708,1178,0,147.25,0.0,1.0,2,1616144787,45,9,25,43.34615384615385,0.0,4580,0,0,520804391,1
35,4296,0,25.2048,55.2708,25080,4811,716.5714285714286,137.45714285714286,0.9142857142857141,4,1617181631,36,17,30,138.5806451612903,0.0,7657,0,4174,0,0
10,1150,0,24.1302,55.8023,6088,0,608.8,0.0,1.0,4,1616879066,3,13,15,71.875,0.0,1161,0,16464,0,0
8,814,0,24.4539,54.3773,8171,6691,1021.375,836.375,0.625,9,1617113431,42,7,28,33.51724137931034,0.0,4287,0,2682,46883933,0
1,88,0,25.3463,55.4209,1934,1934,1934.0,1934.0,0.0,56,1613934849,2,19,0,361.0,0.0,363,0,56086,0,0
7,440,0,25.2048,55.2708,5354,5354,764.8571428571429,764.8571428571429,0.1428571428571428,55,1616819495,1,8,19,46.7,0.0,1122,0,5133,67711200,0
2,76,0,25.2048,55.2708,232,0,116.0,0.0,1.0,5,1616530949,29,16,7,9.5,0.0,1180,0,1200,0,0
8,237,0,25.3463,55.4209,740,0,92.5,0.0,1.0,4,1616432561,65,18,22,10.304347826086955,0.0,500,0,2491,0,0
6,594,0,25.2048,55.2708,2440,1774,406.66666666666674,295.6666666666667,0.6666666666666666,45,1617208922,4,14,22,33.869565217391305,0.0,2480,0,9763,0,0
15,1927,0,24.4539,54.3773,12918,4672,861.2,311.46666666666664,0.9333333333333332,3,1617264031,28,15,29,65.66666666666667,0.12,4072,0,72,0,0
28,3981,0,24.4539,54.3773,10752,0,384.0,0.0,1.0,2,1617145929,120,11,28,137.27586206896552,0.0,23812,0,4403,352185275,1
2,125,0,25.2048,55.2708,120,0,60.0,0.0,1.0,5,1616371062,35,23,22,5.434782608695652,0.0,315,0,34,0,0
38,2308,0,25.2048,55.2708,14883,2834,391.6578947368421,74.57894736842105,0.9736842105263158,6,1617270006,144,13,25,88.76923076923077,0.0,7392,0,10580,0,0
19,2297,0,24.4539,54.3773,14825,0,780.263157894737,0.0,1.0,5,1617147829,473,16,24,91.88,0.0,11859,0,20991,0,0
23,1082,0,25.2048,55.2708,2690,0,116.95652173913044,0.0,1.0,5,1616396545,142,9,29,36.06666666666667,0.0,4474,0,1340,0,0
14,1396,0,25.4052,55.5136,5871,759,419.3571428571428,54.214285714285715,0.9285714285714286,4,1615055478,49,16,28,48.13793103448276,0.0,5195,0,160,0,0
7,840,0,25.2048,55.2708,2531,2290,361.57142857142856,327.14285714285717,0.7142857142857143,5,1612002351,44,10,17,46.666666666666664,0.0,1518,0,1506,48244598,1
5,757,0,25.2048,55.2708,3965,0,793.0,0.0,1.0,4,1616871928,7,16,14,50.46666666666667,0.0,1024,0,43156,0,0
10,691,0,25.2048,55.2708,5502,3214,550.2,321.4,0.8,8,1616358536,3,18,12,71.6923076923077,0.0,4235,0,0,58834659,1
6,1024,0,25.2048,55.2708,1231,0,205.16666666666663,0.0,1.0,4,1616920168,10,14,27,36.57142857142857,0.0,5149,0,0,208113258,1
78,8017,0,24.4539,54.3773,37085,4936,475.4487179487179,63.282051282051285,0.935897435897436,5,1617263612,543,13,30,258.61290322580646,0.0,49817,0,21689,0,0
4,362,0,25.2048,55.2708,1302,0,325.5,0.0,1.0,2,1615802779,48,4,15,22.625,0.0,1697,0,0,46407407,1
1,137,0,25.4052,55.5136,651,0,651.0,0.0,1.0,15,1616053761,2,8,0,137.0,0.0,145,0,1304,0,0
4,92,0,24.4539,54.3773,208,0,52.0,0.0,1.0,4,1617153699,152,12,18,4.842105263157895,0.0,3156,0,63073,824612054,1
3,147,0,25.2048,55.2708,214,0,71.33333333333333,0.0,1.0,2,1616690614,35,16,8,16.333333333333332,0.0,3410,0,0,49102220,1
11,1783,0,25.2048,55.2708,9925,2427,902.2727272727273,220.63636363636363,0.8181818181818182,5,1617275860,25,17,25,68.57692307692308,0.0,2744,0,14820,590526975,1
11,2524,0,25.3463,55.4209,9529,0,866.2727272727273,0.0,1.0,2,1617188174,6,14,13,180.28571428571428,0.0,7683,0,826,48066386,1
52,11337,0,24.4539,54.3773,16735,0,321.8269230769231,0.0,1.0,6,1617194921,17,13,29,377.9,0.0,56205,0,14445,566549864,1
29,1622,0,25.2048,55.2708,7197,0,248.17241379310343,0.0,1.0,4,1617291027,163,12,29,54.06666666666667,0.0,4084,0,51117,0,0
43,3740,0,25.2048,55.2708,11176,0,259.90697674418607,0.0,1.0,2,1617274488,25,10,29,124.66666666666669,0.0,15300,0,352,41315085,1
16,876,0,25.2048,55.2708,1305,0,81.5625,0.0,1.0,6,1617273650,1,11,7,109.5,0.0,876,0,41,0,0
5,661,0,25.2048,55.2708,1984,0,396.8,0.0,1.0,6,1616908886,157,7,22,28.73913043478261,0.0,6803,0,1300,0,0
18,686,0,25.2048,55.2708,3799,873,211.05555555555551,48.5,0.9444444444444444,3,1617185712,112,14,26,25.40740740740741,0.0,1986,0,1748,10618160,0
15,1509,0,24.1302,55.8023,4608,0,307.2,0.0,1.0,1,1617016168,7,13,26,55.888888888888886,0.0,8107,0,894,73613602,1
15,1406,0,25.2048,55.2708,6620,1541,441.33333333333326,102.73333333333332,0.9333333333333332,4,1617243127,144,16,28,48.48275862068966,0.0,1908,0,29941,1004151312,0
1,91,0,24.4539,54.3773,1258,1258,1258.0,1258.0,0.0,64,1614167297,52,12,0,345.0,0.0,354,0,22842,662183334,0
45,10300,0,24.4539,54.3773,17300,0,384.44444444444446,0.0,1.0,2,1617291748,14,9,29,343.3333333333333,0.0,32421,0,9333,46610213,1
24,4970,0,24.4539,54.3773,4337,0,180.70833333333337,0.0,1.0,2,1617085545,9,12,30,160.32258064516128,0.0,20466,0,1730,54930992,1
8,828,0,25.8007,55.9762,1957,0,244.625,0.0,1.0,41,1617217340,50,14,29,27.6,0.0,2999,0,85,0,0
12,2738,0,24.4539,54.3773,6974,0,581.1666666666666,0.0,1.0,2,1617175118,44,15,23,114.08333333333331,0.0,15559,0,4312,68198540,1
7,730,0,25.2048,55.2708,1571,0,224.42857142857144,0.0,1.0,4,1616474705,35,7,23,30.416666666666668,0.0,4341,0,5360,0,0
15,1961,0,25.2048,55.2708,2166,0,144.4,0.0,1.0,2,1616700937,15,9,23,81.70833333333333,0.0,20647,0,5231,501974108,1
2,424,0,25.3463,55.4209,3627,1137,1813.5,568.5,0.5,54,1617015239,1,10,26,18.74074074074074,0.0,506,0,114660,0,0
4,199,0,25.3463,55.4209,935,444,233.75,111.0,0.75,17,1617116064,1,10,8,23.22222222222222,0.0,1707,0,837,0,0
